pos_in_book1,pos_in_book2,sentence_book1,sentence_book2,score,overlap_chars
page:1,page:1,يتفاوت الناس فيه » إذ ليس يشترك الناس في تفهم المعاني للقرآن والتسبيحات »,وهذا مقام يتفاوت الناس فيه إذ ليس يشترك الناس في تفهم المعاني للقرآن والتسبيحات,100,69
page:1,page:1,"وتكون هذه المعاني بحسب درجات الفهم , ويكون الفهم بحسب وفور العلم",وَتَكُونُ هَذِهِ الْمَعَانِي بِحَسَبِ دَرَجَاتِ الْفَهْمِ وَيَكُونُ الْفَهْمُ بِحَسَبِ وُفُورِ الْعِلْمِ وَصَفَاءِ الْقَلْبِ,100,62
page:1,page:1,وقال قتادة : لم يجالس أحدٌ هذا القران إلا قام بزيادةٍ أو نقصان » قال,وقال قتادة لم يجالس أحد هذا القرآن إلا قام بزيادة أو نقصان قال تعالى هو شفاء ورحمة للمؤمنين ولا يزيد الظالمين إلا خساراً,100,62
page:1,page:1,نذْرًا » إن خلصه الله من أيديهم أن ينحر مائة بدّنة » فكان يعمل في ذلك »,قال وكان قد جعل على نفسه نذراً إن خلصه الله من أيديهم أن ينحر مائة بدنة فكان يعمل في ذلك حتى نحرها,100,62
page:1,page:1,وقال محمد بن سعيد المروزي : إذا طلبتٌ الله بالصدقٍ » اتاك الله تعالى,وقال محمد بن سعيد المروزي إذا طلبت الله بالصدق آتاك الله تعالى مرآة بيدك حتى تبصر كل شيء من عجائب الدنيا والآخرة,100,62
page:1,page:1,والمحمود هو الوسّط وهو الفضيلة » والطرفان رذيلتان مذمومتان » والعدل,والمحمود هو الوسط وهو الفضيلة والطرفان رذيلتان مذمومتان والعدل إذا فات فليس له طرفا زيادة ونقصان بل له ضد واحد ومقابل وهو الجور,100,62
page:1,page:1,ولكن لا بدَّ لنا من الموت » ثم البعث » » ثم الوقوف بين يدي الله تعالى »,فقال لها أبو حازم من هذا كله بد ولكن لا بد لنا من الموت ثم البعث ثم الوقوف بين يدي الله تعالى ثم الجنة أو النار,100,61
page:1,page:1,"آدم من مالك إلا ما أكلتٌ فأفنيت, أو لبستٌ فأبليتٌ» أو تصدّقتٌ فأمضيت",وَقَالَ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَقُولُ ابْنُ آدَمَ مَالِي مَالِي وَهَلْ لَكَ مِنْ مَالِكَ إِلَّا مَا أَكَلْتَ فَأَفْنَيْتَ أَوْ لَبِسْتَ فَأَبْلَيْتَ أو تصدقت فأمضيت(٧),100,61
page:1,page:1,بين أن يكون اللسان ترجمان القلب أو يكون معلم القلب » والمقربون,ففرق بين أن يكون اللسان ترجمان القلب أو يكون معلم القلب والمقربون لسانهم ترجمان يتبع القلب ولا يتبعه القلب,100,60
page:1,page:1,وقال إبراهيم بن أدهم : ما أدرك مَنْ أدرك إلا مَنْ كان يعقل ما يدخل,وقال إبراهيم بن أدهم رحمه الله ما أدرك من أدرك إلا من كان يعقل ما يدخل جوفه,100,60
page:1,page:1,وأمّا قوة العدل : فهو ضبْط الشهوة والغضب تحت إشارة العقل والشرع,وأما قوة العدل فهو ضبط الشهوة والغضب تحت إشارة العقل والشرع,100,59
page:1,page:1,والذين هم على صلواتهم يحافظون » والذين هم على صلاتهم دائمون »,فهذا تَفْصِيلُ صَلَاةِ الْخَاشِعِينَ الَّذِينَ هُمْ فِي صَلَاتِهِمْ خاشعون والذين هم على صلواتهم يحافظون والذين هم على صلاتهم دائمون,100,57
page:1,page:1,فهم عظمة الكلام وعلوّه » وفضل الله سبحانه وتعالى ولطفه بخلقه »,فالأول فَهْمُ عَظَمَةِ الْكَلَامِ وَعُلُوِّهِ وَفَضْلِ اللَّهِ سُبْحَانَهُ وتعالى ولطفه بخلقه في نزوله عن عرش جلاله إلى درجة إفهام خلقه,100,57
page:1,page:1,"وإن كان في مباح : فمراقبته بمراعاة الأدب , ثم بشُهود المنعم في",وَإِنْ كَانَ فِي مُبَاحٍ فَمُرَاقَبَتُهُ بِمُرَاعَاةِ الْأَدَبِ ثُمَّ بِشُهُودِ الْمُنْعِمِ فِي النِّعْمَةِ وَبِالشُّكْرِ عَلَيْهَا,100,57
page:1,page:1,اللهمٌ اجعل في قلبي نورًا » وفي لساني نورًا » وفي بصري نورًا » وفي سمعي,اللهم اجعل في قلبي نوراً وفي سمعي نوراً وفي بصري نوراً وفي لساني نوراً,100,56
