pos_in_book1,pos_in_book2,sentence_book1,sentence_book2,score,overlap_chars
992,161,يتفاوت الناس فيه » إذ ليس يشترك الناس في تفهم المعاني للقرآن والتسبيحات »,وهذا مقام يتفاوت الناس فيه إذ ليس يشترك الناس في تفهم المعاني للقرآن والتسبيحات,100,69
999,168,"وتكون هذه المعاني بحسب درجات الفهم , ويكون الفهم بحسب وفور العلم",وَتَكُونُ هَذِهِ الْمَعَانِي بِحَسَبِ دَرَجَاتِ الْفَهْمِ وَيَكُونُ الْفَهْمُ بِحَسَبِ وُفُورِ الْعِلْمِ وَصَفَاءِ الْقَلْبِ,100,62
1371,285,وقال قتادة : لم يجالس أحدٌ هذا القران إلا قام بزيادةٍ أو نقصان » قال,وقال قتادة لم يجالس أحد هذا القرآن إلا قام بزيادة أو نقصان قال تعالى هو شفاء ورحمة للمؤمنين ولا يزيد الظالمين إلا خساراً,100,62
1529,676,نذْرًا » إن خلصه الله من أيديهم أن ينحر مائة بدّنة » فكان يعمل في ذلك »,قال وكان قد جعل على نفسه نذراً إن خلصه الله من أيديهم أن ينحر مائة بدنة فكان يعمل في ذلك حتى نحرها,100,62
2722,1546,وقال محمد بن سعيد المروزي : إذا طلبتٌ الله بالصدقٍ » اتاك الله تعالى,وقال محمد بن سعيد المروزي إذا طلبت الله بالصدق آتاك الله تعالى مرآة بيدك حتى تبصر كل شيء من عجائب الدنيا والآخرة,100,62
2933,800,والمحمود هو الوسّط وهو الفضيلة » والطرفان رذيلتان مذمومتان » والعدل,والمحمود هو الوسط وهو الفضيلة والطرفان رذيلتان مذمومتان والعدل إذا فات فليس له طرفا زيادة ونقصان بل له ضد واحد ومقابل وهو الجور,100,62
2305,1384,ولكن لا بدَّ لنا من الموت » ثم البعث » » ثم الوقوف بين يدي الله تعالى »,فقال لها أبو حازم من هذا كله بد ولكن لا بد لنا من الموت ثم البعث ثم الوقوف بين يدي الله تعالى ثم الجنة أو النار,100,61
4363,978,"آدم من مالك إلا ما أكلتٌ فأفنيت, أو لبستٌ فأبليتٌ» أو تصدّقتٌ فأمضيت",وَقَالَ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَقُولُ ابْنُ آدَمَ مَالِي مَالِي وَهَلْ لَكَ مِنْ مَالِكَ إِلَّا مَا أَكَلْتَ فَأَفْنَيْتَ أَوْ لَبِسْتَ فَأَبْلَيْتَ أو تصدقت فأمضيت(٧),100,61
1000,167,بين أن يكون اللسان ترجمان القلب أو يكون معلم القلب » والمقربون,ففرق بين أن يكون اللسان ترجمان القلب أو يكون معلم القلب والمقربون لسانهم ترجمان يتبع القلب ولا يتبعه القلب,100,60
2350,451,وقال إبراهيم بن أدهم : ما أدرك مَنْ أدرك إلا مَنْ كان يعقل ما يدخل,وقال إبراهيم بن أدهم رحمه الله ما أدرك من أدرك إلا من كان يعقل ما يدخل جوفه,100,60
2933,800,وأمّا قوة العدل : فهو ضبْط الشهوة والغضب تحت إشارة العقل والشرع,وأما قوة العدل فهو ضبط الشهوة والغضب تحت إشارة العقل والشرع,100,59
1002,170,والذين هم على صلواتهم يحافظون » والذين هم على صلاتهم دائمون »,فهذا تَفْصِيلُ صَلَاةِ الْخَاشِعِينَ الَّذِينَ هُمْ فِي صَلَاتِهِمْ خاشعون والذين هم على صلواتهم يحافظون والذين هم على صلاتهم دائمون,100,57
1367,280,فهم عظمة الكلام وعلوّه » وفضل الله سبحانه وتعالى ولطفه بخلقه »,فالأول فَهْمُ عَظَمَةِ الْكَلَامِ وَعُلُوِّهِ وَفَضْلِ اللَّهِ سُبْحَانَهُ وتعالى ولطفه بخلقه في نزوله عن عرش جلاله إلى درجة إفهام خلقه,100,57
3206,1562,"وإن كان في مباح : فمراقبته بمراعاة الأدب , ثم بشُهود المنعم في",وَإِنْ كَانَ فِي مُبَاحٍ فَمُرَاقَبَتُهُ بِمُرَاعَاةِ الْأَدَبِ ثُمَّ بِشُهُودِ الْمُنْعِمِ فِي النِّعْمَةِ وَبِالشُّكْرِ عَلَيْهَا,100,57
2806,254,اللهمٌ اجعل في قلبي نورًا » وفي لساني نورًا » وفي بصري نورًا » وفي سمعي,اللهم اجعل في قلبي نوراً وفي سمعي نوراً وفي بصري نوراً وفي لساني نوراً,100,56
2593,1575,وحكايات المجتهدين غير محصورة » وفيما ذكرناه كفاية للمعتبر »,وحكايات المجتهدين غير محصورة وفيما ذكرناه كفاية للمعتبر,100,55
2933,800,فمِنَ اعتدال هذه الأصول الأربعة تصدر الأخلاق الجميلة كلها,فَمِنِ اعْتِدَالِ هَذِهِ الْأُصُولِ الأربعة تصدر الأخلاق الجميلة كلها,100,55
3142,1088,وقال زياد النمري : الزاهد بغيّر تواضع كالشجرة التي لا تثمر,وقال زياد النمري الزاهد بغير تواضع كالشجرة التي لا تثمر,100,55
1000,169,ترقيق قلبك وتجديد خشوعك » وتستشعر ذلك » وعزَّ مولاك واتضاعك,ثُمَّ تَسْتَأْنِفَ لَهُ ذُلًّا وَتَوَاضُعًا بِرُكُوعِكَ وَتَجْتَهِدَ في ترقيق قلبك وتجديد خُشُوعَكَ وَتَسْتَشْعِرَ ذَلِكَ وَعِزَّ مَوْلَاكَ وَاتِّضَاعَكَ وَعُلُوَّ رَبِّكَ,100,53
1001,169,واستشعر شكر الله سبحانه على توفيقه لإتمام هذه الطاعة » وتوهم,وَاسْتَشْعِرْ شُكْرَ اللَّهِ سُبْحَانَهُ عَلَى تَوْفِيقِهِ لِإِتْمَامِ هَذِهِ الطاعة,100,52
3142,1088,ويقال : مّن يرى لنفسه قيمة » فليس له من التواضع نصيب,ويقال من يرى لنفسه قيمة فليس له من التواضع نصيب,100,47
1001,169,"يبلغه » ثم تسلم على نفسك وعلى جميع عباد الله الصالحين , ثم تأمل أن",ثُمَّ تُسَلِّمُ على نفسك وعلى جميع عِبَادِ اللَّهِ الصَّالِحِينَ,100,45
2590,1567,وفات ابن أبي ربيعة ركعتا الفجر فأعتق رقبة,وفات ابن أبى ربيعة ركعتا الفجر فاعتق رقبة,100,41
993,163,وجماعة كانت تصفر وجوههم وترتعد فرائصهم,وجماعة كانت تصفر وجوههم وترتعد فرائصهم,100,38
1001,169,بالإجابة » وأشرك في دعائك أبويك وسائر المؤمنين » واقصد - عند التسلم -,وَأَشْرِكْ فِي دُعَائِكَ أَبَوَيْكَ وَسَائِرَ الْمُؤْمِنِينَ,100,35
4508,740,أنا النبي لا كذب أنا ابن عبد المطلب,أَنَا النَّبِيُّ لَا كَذِبْ أَنَا ابْنُ عبد المطلب,100,35
1452,703,أفضل الجهاد: كلمة حق عند سلطان جائر,وقال صلى الله عليه وسلم أفضل الجهاد كلمة حق عند سلطان جائر(٢),100,34
2560,1553,المقام الأَوّلُ من المرابطة : المُشَارَطّة :,[المقام الأول من المرابطة: المشارطة],100,33
2687,1553,المقام الأول من المرابطة : المشارطة 0,[المقام الأول من المرابطة: المشارطة],100,33
1511,706,قال : فقال الحجاج : ضعوا عليه العذاب,قال فقال الحجاج ضعوا عليه العذاب,100,32
2539,1506,سروره بالمصيبة مِثْل سروره بالنعمة,تعالى قالت إذا كان سروره بالمصيبة مثل سروره بالنعمة,100,32
4534,872,لعْنُ المؤمن كقتله ثابت بن الضحاك,(٢) حديث لعن المؤمن كقتله متفق عليه من حديث ثابت بن الضحاك,100,31
1253,997,إن اعتذاري إلى مَنْ جاء يسألني  ماليس عندي من إحدى المصيبات,إِنَّ اعْتِذَارِي إِلَى مَنْ جَاءَ يَسْأَلُنِي,100,28
3595,1303,ترجو النجاةً ولم تسلّك مسالكَهًا  إن السسّفينةَ لا تجري على اليبس,تَرْجُو النَّجَاةَ وَلَمْ تَسْلُكْ مَسَالِكَهَا,100,28
1253,997,ا لَهُف قلبي على مال أجُودُ بهد على المُقلِينَ من أهل المروءات,عَلَى الْمُقِلِّينَ مِنْ أَهْلِ الْمُرُوءَاتِ,100,27
1263,993,فإذا اصطنعتٌ صنيعةً فاعُمِدْ بها لله أو لذوي القرابة أو دع,فإذا اصطنعت صنيعة فاعمد بها,100,27
1372,357,فَهِمُوا عن المَلِكِ الجَلِيل كَلامَه  فَهْمًا َذلْ لَه الَقَابُ وَتَخْضَعٌ,فهموا عن الملك الجليل كلامه,100,27
2224,1346,قال الحسن : حالي أشدّ من حالهم,قال الحسن حالي أشد من حالهم,100,27
3202,1500,والعبدٌُ يزهو على مقدار مَوْلاهُ,والعبد يزهو على مقدار مولاه,100,27
3423,1498,كل الأمور إلى المليكِ العادل,كل الأمور إلى المليك العادل,100,27
4478,1500,قوم تَلَلهُمْ رَهْوٌ بسيّدهمْ والعبدُ يزهو على مقدار مولاهُ,والعبد يزهو على مقدار مولاه,100,27
227,58,ومَنْ منح الججُهّال علمًا أضاعه ومَنْ منع المستوجبين فقد ظلم,ومن منع المستوجبين فقد ظلم,100,26
2947,925,وأما الذي يلي فإِنْ ل أو هَمَا تفضّلتُ إِنَّ الفضل بالحلم حاكمٌ,تفضلت إن الفضل بالحلم حاكم,100,26
3422,1498,ومن الدلائل أن تراه مسافِرًا,ومن الدلائل أن تراه مسافراً,100,26
3422,1498,والقلبٌ فيه مِنّ الحبيب بلابل,والقلب فيه من الحبيب بلابل,100,26
3422,1498,ومن الدلائل أن يُرى متفهُمًا,ومن الدلائل أن يرى متفهماً,100,25
3422,1498,ومن الدلائل أن تراه مُشَمُرًا,ومن الدلائل أن تراه مشمراً,100,25
3423,1498,ومن الدلائل أنْ تراه باكيًا,ومن الدلائل أن تراه باكياً,100,25
3423,1498,ومن الدلائل أن تراه راضيًا,ومن الدلائل أن تراه راضياً,100,25
3435,1495,فحلُوا بقرب الماجد المتفضل,فحلوا بقرب الماجد المتفضل,100,25
4409,604,ولم أرَ في عُيوب الناس عيبا كتمص القادرين على اتمام,ولم أر في عيوب الناس عيباً,100,25
36,1167,سوف ترى إذا انجلى الغبارٌ أتحتك فرسٌ أم حمار”,سوف ترى إذا انجلى الغبار,100,24
3413,1470,فصارٌ يحسّدني مَن كنتٌ أَحسُدُهُ,فصار يحسدني من كنت أحسده,100,24
3423,1498,من دار ذل والنعيم الزائل,من دار ذل والنعيم الزائل,100,24
3423,1498,أن قد رآه على قبيح فعائل,أن قد رآه على قبيح فعائل,100,24
3435,1495,ومصدرهمٌ عنها لِمَا هو أكمل,ومصدرهم عنها لما هو أكمل,100,24
3422,1498,متحفُظًا من كل ما هو قائل,متحفظاً من كل ما هو قائل,100,23
1003,365,وعن أنس رضي الله عنه قال : وجد,قَالَ أنس رَضِيَ اللَّهُ عَنْهُ,100,17
1000,168,باطلاع الله عليه » وبقبح التهاون بالمناجى عند غفلة المناجي ؛ ليعود إليه »,فَإِذَا الْتَفَتَ إِلَى غَيْرِهِ فَذَكِّرْهُ بِاطِّلَاعِ الله عليه وَبِقُبْحِ التَّهَاوُنِ بِالْمُنَاجَى عِنْدَ غَفْلَةِ الْمُنَاجِي لِيَعُودَ إليه,98,67
2738,1548,فإن النفسَ قد تسخو بالعزم في الحال ؛ إذ لا مشقّة في الوعد والعزم »,الصدق الرابع فِي الْوَفَاءِ بِالْعَزْمِ فَإِنَّ النَّفْسَ قَدْ تَسْخُو بِالْعَزْمِ فِي الْحَالِ إِذْ لَا مَشَقَّةَ فِي الوعد والعزم,98,60
756,63,وقال مالك بن دينار : ١ إن العالم إذا لم يعمل بعلمه » زلت موعظته,وقال مالك بن دينار إن العالم إذا لم يعمل بعلمه زلت موعظته عن القلوب كما يزل القطر عن الصفا وأنشدوا,98,57
4537,911,ليس الشديد بالصرّعة وإنما الشديد الذي يملك نفسه عند الغضب ا,وقال أبو هريرة قال النبي صلى الله عليه وسلم ليس الشديد بالصرعة وإنما الشديد الذي يملك نفسه عند الغضب(٥),98,57
4420,582,وقال الفضيل : كفى بالله مُحبّا » وبالقرآن مُوْنسًا » وبالموت واعظًا »,وقال الفضيل كفى بالله محباً وبالقرآن مؤنساً وبالموت واعظاً,98,54
2359,456,ومن ذلك : التورّع عن الزينة ؛ لأنه يخاف منها أن تدعو إلى,ومن ذلك التورع عن الزينة لأنه يخاف منها أن تدعو إلى غيرها وإن كانت الزينة مباحة في نفسها,98,51
132,1043,وقال الفضيل : منْ أراد أن ينظر إلى مُراءِ فلينظر إلي,وقال الفضل من أراد أن ينظر إلى مراء فلينظر إلي,98,46
3413,1470,وصرتٌ مولى الورئى مُذْ صرت مولائي,وصرت مولى الورى مذ صرت مولائي,98,29
3423,1498,ومن الدلائل ضحكُة بين الورئى,ومن الدلائل ضحكه بين الورى,98,26
3422,1498,ولديه من تُحَففِ الحبيب وسائل,ولديه من تحف الحبيب وسائل,98,25
3422,1498,ومن الدلائل أن يُرى متبسسّمًا,ومن الدلائل أن يرى متبسماً,98,25
3422,1498,في يخرقتين على شطوط الساحل,في خرقتين على شطوط الساحل,98,25
3423,1498,ومن الدلائل أن تراه مُسَلْمًا,ومن االدلائل أن تراه مسلماً,98,25
3295,910,جعل الذين كفروا في قلوبهم الحميّة ميّة الجاهلية فأنزل الله سكينته على رسوله,قَالَ اللَّهُ تَعَالَى{إِذْ جَعَلَ الَّذِينَ كَفَرُوا فِي قُلُوبِهِمُ الْحَمِيَّةَ حَمِيَّةَ الْجَاهِلِيَّةِ فَأَنْزَلَ اللَّهُ سَكِينَتَهُ عَلَى رَسُولِهِ وَعَلَى},97,73
3433,1493,وقال بعض العلماء : والله ما اشتفى حب لله من طاعته » ولو حل بعظيم,وقال بعض العلماء والله ما اشتفى محب لله من طاعته ولو حل بعظيم الوسائل,97,60
2221,1323,"٠ لان أدمع دّمعة من خشية الله أحبٌ إل من أن أتصدَّقَ بألف دينار ,''",لأن أدمع دمعة من خشية الله أحب إلي من أن أتصدق بألف دينار,97,56
4486,254,١ + اللَّهُمّ اجعل في قلبي نورًا » وفي لساني نورًا » وفي بصري نورًا »,اللهم اجعل في قلبي نوراً وفي سمعي نوراً وفي بصري نوراً وفي لساني نوراً,97,49
2735,1548,الذي وجوده لمولاه لا لنفسه ؛ وهذه درجة الصّدّيقين,فالعبد الحق هو الذي وجوده لمولاه لا لنفسه وهذه درجة الصديقين,97,45
2934,801,فأمهات محاسن الأخلاق هذه الفضائل الأربعة ؛ وهي :,فأمهات محاسن الأخلاق هذه الفضائل الأربعة وهي الحكمة والشجاعة والعفة والعدل والباقي فروعها,97,44
2215,1320,وقال الفضيل : « من خاف الله دلّه الخوف على كل غير »,وقال الفضيل من خاف الله دله الخوف على كل خير,97,43
1452,703,"وقال َه : « أفضل الجهاد كلمة حق عند سلطان جائر )""""",وقال صلى الله عليه وسلم أفضل الجهاد كلمة حق عند سلطان جائر(٢),97,41
3206,1561,فإذن » لا يخلو العبد ؛ إِمّا أن يكون في طاعة,فإذن لا يخلو العبد إِمَّا أَنْ يَكُونَ فِي طَاعَةٍ أَوْ فِي معصية أو في مباح,97,38
999,168,"له أن يحترق قلبه بوعد سيده ووعيده , فإنه عبد ذليل بين يدي جبَارٍ قار :",وقال عبد الله بن واقد رأيت ابن عمر يصلي مغلوباً عليه وحق له أن يحترق قلبه بوعد سيده ووعيده فإنه عبد مذنب ذليل بين يدي جبار قاهر,96,64
3206,1562,ولا يخلو العبد في جملة أحواله عن بلي لا بدّ له من الصبر عليها »,وَلَا يَخْلُو الْعَبْدُ فِي جُمْلَةِ أَحْوَالِهِ عَنْ بَلِيَّةٍ لَا بُدَّ لَهُ مِنَ الصَّبْرِ عَلَيْهَا وَنِعْمَةٍ لَا بُدَّ لَهُ مِنَ الشُّكْرِ عَلَيْهَا وَكُلُّ ذَلِكَ مِنَ الْمُرَاقَبَةِ,96,60
2230,1344,« خرج ابن المبارك يومًا على أصحابه » فقال : إني اجترأتٌ البارحة,وخرج ابن المبارك يوما على أصحابه فقال إني اجترأت البارحة على الله سألته الجنة,96,55
1002,170,وكان إبراهم يمكث بعد الصلاة ساعد كأنه مريض,وكان إبراهيم يمكث بعد الصلاة ساعة كأنه مريض,96,41
2960,818,وجدت اسمي الذي أضلّه أهل البصرة ل,يَا مُرَائِي فَقَالَ يَا هَذِهِ وَجَدْتِ اسْمِي الذي أضله أهل البصرة,96,30
3435,1495,موارِدهم فيها على العرّ والنهَى,مواردهم فيها على العز والنهي,96,27
3422,1498,ومِنَ الدلائل أن ترى من عزمه,ومن الدلائل أي ترى من عزمه,96,25
3435,1496,وفي حُلل التوحيد تمشي وترقل,وفي حلل التوحيد تمشي وترفل,96,25
3423,1498,﻿‫ومن الدلائل زهده فيما يرف,ومن الدلائل زهده فيما يرى,96,24
3435,1496,سأكْتمْ منْ علمي به ما يصوثة,سأكتم من علمي به ما يصونه,96,24
2933,800,وأمّا الحكمة فيسمّى إفراطها عند الاستعمال في الأغراض الفاسدة : خبّكًا,وأما الحكمة فيسمى إفراطها عند الاستعمال في الأغراض الفاسدة خبثاً وجربزة ويسمى تفريطها بلهاً والوسط هو الذي يختص باسم الحكمة,95,62
4546,922,من كظم غيظًا وهو قادرٌ على أن ينفذه دعاه الله على رؤوس الخلائق,وقال صلى الله عليه وسلم من كظم غيظاً وهو قادر على أن ينفذه دعاه الله على رءوس الخلائق ويخيره من أي الحور شاء(٣),95,59
